model,n,MAE,RMSE,bias,sign_hit
ElasticNetCV,98,98.0936682716115,152.28884148232336,-9.218519518727664,0.9795918367346939
"XGB(300,d4)",98,98.4392857454261,144.33219380424387,-6.418167425661671,0.9795918367346939
"RF(300,d6)",98,102.05389089589329,156.96034943799413,-5.058893137266815,0.9795918367346939
Ridge(50),98,102.33051854377695,154.3439019656281,-3.424135783469992,0.9693877551020408
"GBM(200,d3)",98,107.63509128052591,159.21567739089608,6.813981396229208,0.9795918367346939
Ridge(10),98,110.52543881054919,175.47953528613945,-12.126321571194792,0.9591836734693877
Ridge(1.0),98,130.18809529726965,229.1972086784879,-15.768754256646535,0.9489795918367347
