date,actual,n_train,Naive: last value,Naive: 3m avg,Naive: 12m avg,OLS,Ridge(1.0),Ridge(10),ElasticNetCV,"RF(300,d6)","GBM(200,d3)","XGB(300,d4)"
2015-02-01,259.0,60,204.0,256.6666666666667,250.58333333333334,-32.872231865912255,112.88339130673997,187.52081626550276,217.99771006444857,213.22614756229015,196.69659879999787,195.75136
2015-03-01,96.0,61,259.0,246.0,259.5833333333333,-22.679584448262972,118.92005638299653,210.64980285264403,232.55018359139711,236.4740409275905,244.01816465272788,227.49435
2015-04-01,273.0,62,96.0,186.33333333333334,244.83333333333334,238.74799065172232,151.24650676253103,175.1149843040546,195.82801523508448,182.9753553424571,151.97399243948524,184.84286
2015-05-01,342.0,63,273.0,209.33333333333334,241.5,539.6026898844771,249.66825993563396,212.68832906904015,226.93695153780538,195.8270834562398,199.29600265613894,200.36197
2015-06-01,171.0,64,342.0,237.0,252.08333333333334,260.7745305017397,314.4654973166557,330.4980896792088,264.23719253320303,251.5167131947351,272.92461250695067,253.55586
2015-07-01,282.0,65,171.0,262.0,238.33333333333334,161.08052044312313,245.722091934656,225.94148940289818,226.058782984131,212.21001447868758,228.08565646423853,211.80638
2015-08-01,134.0,66,282.0,265.0,243.25,396.0340903488901,283.58930240823474,259.1786326101927,240.25010813499063,246.78266130733002,245.257455380565,271.31085
2015-09-01,150.0,67,134.0,195.66666666666666,238.0,243.66124807638369,174.4876025109249,198.50013565968214,213.12661067828103,213.2360662078603,229.88388581062756,221.67374
2015-10-01,304.0,68,150.0,188.66666666666666,226.0,388.56058417405256,344.82618573858343,256.36902339146866,210.92841418941268,213.5159310913654,246.47278686957813,257.67584
2015-11-01,229.0,69,304.0,196.0,231.75,-63.160695088937274,132.73310002701658,187.4293290595032,225.59122297240518,219.08323652442695,200.7162197498927,249.89864
2015-12-01,269.0,70,229.0,227.66666666666666,226.58333333333334,92.44654735512786,220.2434502542452,235.6530195040624,233.2124054846427,215.47458970086257,233.347913351239,187.59749
2016-01-01,133.0,71,269.0,267.3333333333333,226.08333333333334,168.50066204681985,137.52061429892748,154.43341972396973,203.48960128283014,208.22849682178366,235.07627628271584,222.97194
2016-02-01,196.0,72,133.0,210.33333333333334,220.16666666666666,275.0409048147977,216.02819901978782,157.59294327010105,158.33073347019132,191.19203597136018,151.71531643736145,170.03877
2016-03-01,256.0,73,196.0,199.33333333333334,214.91666666666666,160.28792949401665,228.92241787503625,213.65103045781024,207.0741662501399,212.89421944798934,236.78995330484713,239.73515
2016-04-01,192.0,74,256.0,195.0,228.25,188.84566990828077,165.5485469150418,165.9721238983075,158.88283992911624,213.45261200756704,190.55999797397294,222.35274
2016-05-01,46.0,75,192.0,214.66666666666666,221.5,264.80956775121075,300.8862568397224,241.10023258022875,240.33087020546725,239.56791084945021,270.79012370800615,240.34659
