model,n,MAE,RMSE,bias,sign_hit
Ridge(10),40,77.28269135379773,103.66951267756335,19.423944574441947,0.975
Ridge(50),40,78.1419479740969,101.76527683772852,26.85266144131782,0.975
ElasticNetCV,40,81.99723382281158,104.39403393731155,34.35835041116009,0.975
"RF(300,d6)",40,85.87087717708624,102.47268042819465,24.36667791886733,0.975
"XGB(300,d4)",40,87.45542812347412,105.10219981457381,36.34655818939209,0.975
Ridge(1.0),40,87.93679933963838,109.69993004460248,26.43591346785677,0.975
"GBM(200,d3)",40,92.2159952560756,118.33131284052001,40.3636756538336,0.975
